ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unknown,0.42786732,0.64815545,-3.9886294e-07,0.3807204,0.60874665,-0.011460553,0.34556034,0.5572839,-0.016712215,0.32283634,0.5074081,-0.025503462,0.3066828,0.46836028,-0.031756185,0.39192182,0.50387955,0.012928745,0.38666537,0.44791293,-0.008025898,0.37619182,0.47990534,-0.023302903,0.3761114,0.5110763,-0.03042738,0.4175199,0.49920565,0.008036194,0.4153569,0.42930073,-0.016930617,0.39877537,0.47390056,-0.028871061,0.39748868,0.5111148,-0.029786577,0.44379002,0.5033381,-0.0016257324,0.4457407,0.4303601,-0.024501283,0.4243579,0.4678946,-0.026806708,0.41865215,0.5052732,-0.020503044,0.47146574,0.51664466,-0.01274561,0.47014418,0.4619908,-0.026262056,0.44759452,0.4786244,-0.02612147,0.43599272,0.50576174,-0.021453071
unknown,0.44698521,0.7559719,3.0934018e-07,0.39987728,0.7467942,-0.017259428,0.35689843,0.71312064,-0.03059311,0.34355584,0.66766405,-0.04629468,0.36585066,0.63421977,-0.0616451,0.36094084,0.61629444,-0.014583538,0.32266238,0.5638703,-0.034222275,0.29860586,0.53223544,-0.04787147,0.28172877,0.50349927,-0.057974953,0.3867392,0.5977372,-0.02217128,0.35737216,0.5209406,-0.04427075,0.33581218,0.47875804,-0.059683356,0.32194197,0.4434134,-0.06894432,0.417715,0.59654,-0.032256797,0.38950038,0.53848433,-0.061697386,0.3793948,0.5819786,-0.06699467,0.37987378,0.62116987,-0.06372326,0.45115173,0.60865325,-0.04373833,0.42429715,0.58409613,-0.066305354,0.41524598,0.6121881,-0.06735163,0.41772044,0.63697374,-0.06376353
unknown,0.34987253,0.683491,-5.00114e-07,0.30407542,0.6653539,-0.003019119,0.270406,0.61840135,-0.003238876,0.25008875,0.57900697,-0.009122395,0.22679436,0.55710065,-0.013618662,0.3021783,0.543618,0.023233032,0.2842803,0.5071805,0.0039464333,0.2726783,0.5401685,-0.0091786375,0.2686822,0.57185817,-0.012968223,0.32606885,0.5334607,0.016055891,0.30410877,0.49443728,-0.012281384,0.28857982,0.54720616,-0.028722815,0.28607494,0.5869733,-0.03049849,0.35248637,0.5279316,0.0049396306,0.33108705,0.49107084,-0.023941793,0.3104668,0.5408687,-0.033342093,0.3034663,0.5784315,-0.027965778,0.3807336,0.5264999,-0.0061928313,0.37959206,0.46332133,-0.020502893,0.3672218,0.42829132,-0.025752936,0.35541448,0.3966248,-0.024215713
unknown,0.46232733,0.6453538,2.0878205e-07,0.4315374,0.6069069,-0.013731398,0.41180283,0.5556637,-0.023194699,0.39171696,0.5256398,-0.032355048,0.36703277,0.50602597,-0.042054072,0.4639925,0.47659072,-0.010796166,0.46663982,0.41917056,-0.022802282,0.46583453,0.38707265,-0.03495322,0.46082416,0.35893703,-0.044545226,0.4908271,0.49141586,-0.01598392,0.5069939,0.43632483,-0.025558366,0.50955355,0.4091555,-0.03576685,0.5050553,0.38891208,-0.04327937,0.5100935,0.5220145,-0.023576321,0.5280114,0.48081604,-0.03473001,0.5327276,0.45699534,-0.042684812,0.5306789,0.43550447,-0.048326414,0.52243686,0.56208044,-0.032544285,0.53650177,0.5367362,-0.042952374,0.5407131,0.5212133,-0.04591256,0.5403678,0.5052457,-0.047763873
unknown,0.3767233,0.71450186,4.2069254e-07,0.32827336,0.6906306,-0.017045632,0.2980825,0.6286276,-0.025498288,0.2945169,0.5667421,-0.03468392,0.3114171,0.5221617,-0.04200033,0.3154392,0.5514299,-0.008859803,0.2864678,0.4835893,-0.022103423,0.27077073,0.44217363,-0.03019123,0.259819,0.40590173,-0.03632926,0.34562474,0.5340355,-0.010844426,0.34072685,0.44994968,-0.028213007,0.33227906,0.39313048,-0.04034226,0.32818693,0.35130987,-0.047749188,0.37711975,0.53323734,-0.015640171,0.36745563,0.46661898,-0.037683383,0.34073877,0.47384402,-0.044256378,0.32149103,0.49297997,-0.043679558,0.40946773,0.5421884,-0.021998236,0.41726527,0.4812999,-0.040111218,0.41299036,0.4402878,-0.047767207,0.40616295,0.40888292,-0.050504625
unknown,0.41943833,0.67941195,-3.6903602e-09,0.37385374,0.651478,-0.012238271,0.33681622,0.59589195,-0.020645322,0.3157905,0.5506742,-0.032450702,0.30795425,0.5121138,-0.04293318,0.36415076,0.5127305,-0.0015474994,0.3452936,0.45378625,-0.029325237,0.32716274,0.42579865,-0.05032267,0.3084157,0.41683888,-0.061684776,0.39600474,0.507452,-0.011105693,0.38487726,0.42895788,-0.04730876,0.36171,0.41943294,-0.06763162,0.34162426,0.43058556,-0.07211681,0.42849755,0.5161864,-0.02390182,0.40465307,0.4730442,-0.05821141,0.39346892,0.5250457,-0.058070652,0.3918848,0.56434864,-0.046153158,0.46270266,0.53595173,-0.038117643,0.43916672,0.5139137,-0.058179937,0.42616856,0.54785424,-0.052537248,0.42584705,0.5708926,-0.041409194
unknown,0.3666697,0.7015455,3.9219591e-07,0.3194562,0.6740723,-0.014802919,0.29357064,0.6103593,-0.021371137,0.2906049,0.55287373,-0.029229399,0.30463445,0.5119725,-0.0349789,0.31508735,0.53433436,-0.0028648179,0.29269403,0.46946338,-0.014591199,0.28206688,0.43045735,-0.021816239,0.27607316,0.3977605,-0.027038572,0.3452824,0.5214488,-0.005366376,0.34476152,0.44260105,-0.021120466,0.33685023,0.3880722,-0.032290965,0.33188927,0.3490708,-0.038730603,0.37643778,0.52370495,-0.010958364,0.36769268,0.45758575,-0.03194516,0.3384629,0.45916843,-0.03826443,0.31587917,0.47241902,-0.037327696,0.40825427,0.5358691,-0.017930092,0.41945806,0.47761586,-0.034928102,0.41452447,0.4378866,-0.04225108,0.40592727,0.40795672,-0.044613175
unknown,0.4901516,0.64201766,4.5192002e-07,0.44394213,0.60463417,-0.013653027,0.4146765,0.53476876,-0.02000359,0.39584133,0.4810631,-0.029036386,0.3721947,0.44877273,-0.03765541,0.46952802,0.45222238,-0.0057259044,0.4709516,0.38286984,-0.019175854,0.47346953,0.33972114,-0.02752327,0.4773108,0.30201238,-0.03327377,0.50089943,0.46131164,-0.013620979,0.52312726,0.37922618,-0.03216982,0.5366438,0.3296277,-0.043821547,0.55094814,0.2895007,-0.049200878,0.52713466,0.48966947,-0.023899749,0.53153473,0.44987655,-0.05358185,0.5078838,0.49584204,-0.05568541,0.49521133,0.5305217,-0.04814235,0.5494332,0.52747625,-0.0349185,0.5449216,0.49619418,-0.05771373,0.52256733,0.5289077,-0.054675713,0.5099094,0.5568489,-0.046860427
unknown,0.49100813,0.621006,1.3294067e-07,0.45536235,0.5795427,-0.0123038385,0.44799516,0.51352286,-0.014159915,0.4621511,0.45792356,-0.016680961,0.4732367,0.41444823,-0.018058961,0.46589896,0.4642949,0.0066669886,0.46564534,0.39938667,0.0005765256,0.4662471,0.3565628,-0.00489446,0.46741846,0.32133168,-0.009044899,0.49162966,0.468947,0.00590027,0.4961892,0.41631818,-0.013781249,0.48731118,0.41089123,-0.027555542,0.47802722,0.42082363,-0.03151239,0.51693404,0.47896585,0.0027807658,0.52300894,0.43358243,-0.016528748,0.50730807,0.4288536,-0.025072915,0.49315494,0.43606552,-0.02497305,0.5420383,0.49131235,-0.0013333063,0.5605495,0.44101587,-0.014061678,0.569284,0.40267462,-0.020313427,0.57518154,0.3718645,-0.02191982
unknown,0.3476834,0.52053976,-3.1496714e-07,0.29682365,0.54750407,-0.015414262,0.24491133,0.57222027,-0.036196314,0.20682597,0.607129,-0.057356637,0.17988947,0.6263482,-0.076878875,0.22714815,0.448156,-0.023412997,0.16919741,0.4661086,-0.05548441,0.14872858,0.5109331,-0.08145389,0.14060575,0.55815816,-0.09637317,0.2393873,0.4403903,-0.028580196,0.16121976,0.46526825,-0.05989162,0.15015134,0.5199975,-0.080413945,0.15701607,0.56183606,-0.092108116,0.25730553,0.4436996,-0.03592277,0.19506404,0.45705217,-0.0592961,0.17675804,0.5103316,-0.06960778,0.1783542,0.55468637,-0.07311617,0.27521145,0.4606479,-0.044409785,0.22607946,0.47295466,-0.058011174,0.2030937,0.505891,-0.06334587,0.19344443,0.5371648,-0.0655578
