ts,0_x,0_y,0_z,1_x,1_y,1_z,2_x,2_y,2_z,3_x,3_y,3_z,4_x,4_y,4_z,5_x,5_y,5_z,6_x,6_y,6_z,7_x,7_y,7_z,8_x,8_y,8_z,9_x,9_y,9_z,10_x,10_y,10_z,11_x,11_y,11_z,12_x,12_y,12_z,13_x,13_y,13_z,14_x,14_y,14_z,15_x,15_y,15_z,16_x,16_y,16_z,17_x,17_y,17_z,18_x,18_y,18_z,19_x,19_y,19_z,20_x,20_y,20_z
unknown,0.448255,0.7069557,6.674579e-08,0.42776418,0.64337,-0.007886451,0.39479604,0.5858588,-0.019700157,0.36386013,0.5455861,-0.029621614,0.3475697,0.50785625,-0.041627895,0.37169355,0.6156206,-0.039985217,0.3119009,0.63354737,-0.05741738,0.27527767,0.6483923,-0.06682924,0.24797449,0.6623157,-0.072267175,0.37176046,0.6629291,-0.04426453,0.30017573,0.68474835,-0.060855616,0.25819892,0.6997379,-0.06867796,0.22778216,0.7117139,-0.07451801,0.37181726,0.70597166,-0.047197893,0.30639857,0.7214967,-0.060204662,0.26630628,0.7311539,-0.06389475,0.23642626,0.73900497,-0.06622243,0.37182796,0.7443022,-0.04986841,0.317552,0.75085133,-0.059406906,0.28550807,0.7531394,-0.060649693,0.25893095,0.7545439,-0.060755454
unknown,0.44800776,0.7089963,7.5442316e-08,0.42693132,0.6444425,-0.0072149984,0.3934605,0.58726645,-0.019094938,0.36343864,0.5455171,-0.029206345,0.34688115,0.50861067,-0.04134785,0.37153327,0.6148109,-0.039671145,0.31110048,0.6336019,-0.057254367,0.27482408,0.6492613,-0.06665185,0.24812,0.663707,-0.07189051,0.37222472,0.66175574,-0.044316024,0.29947263,0.68482876,-0.06085064,0.25720853,0.70057917,-0.06824985,0.2271463,0.7131633,-0.07356817,0.37228438,0.7053584,-0.04761452,0.304985,0.7225513,-0.0606253,0.26490194,0.7329082,-0.06385291,0.23548146,0.74103105,-0.065632254,0.37169737,0.7441818,-0.050575476,0.31652203,0.75176597,-0.05998948,0.28457016,0.7549621,-0.060708594,0.25833288,0.7568857,-0.06023563
unknown,0.44816196,0.7066205,6.703385e-08,0.42733952,0.64349556,-0.0077897217,0.39419696,0.58679116,-0.019850563,0.36331257,0.5465475,-0.029938944,0.34713307,0.508542,-0.04214054,0.37153292,0.6160798,-0.04062023,0.31095046,0.6343445,-0.058167856,0.27444756,0.64905375,-0.06759799,0.2474606,0.6630229,-0.07294482,0.37172017,0.66309094,-0.04486531,0.29928148,0.6850364,-0.06177377,0.2577126,0.7004535,-0.06951214,0.22812365,0.7131701,-0.075078465,0.37171575,0.70631856,-0.047668748,0.30521667,0.72282946,-0.060767923,0.26546246,0.73288727,-0.06429673,0.23618951,0.74137866,-0.06637712,0.37165895,0.7447041,-0.050130412,0.31690174,0.7510784,-0.059300043,0.28543192,0.7537285,-0.060079195,0.25959724,0.7556984,-0.05982025
unknown,0.4468689,0.7083213,8.3110976e-08,0.4268254,0.6435753,-0.008052371,0.39336577,0.5875837,-0.020029044,0.36322272,0.5465644,-0.030095132,0.3468438,0.5093486,-0.042138766,0.3709702,0.616362,-0.040352866,0.31053513,0.6338973,-0.058004707,0.27435398,0.6490015,-0.06738098,0.24780193,0.6633515,-0.07266527,0.37073913,0.6628566,-0.044510867,0.29884776,0.6849065,-0.061269697,0.256956,0.70034164,-0.06887443,0.22702649,0.713047,-0.074313484,0.3703195,0.70603824,-0.04734987,0.3040767,0.72228813,-0.060405903,0.26456273,0.73227423,-0.06382987,0.23543258,0.7404024,-0.06581165,0.36991876,0.74428195,-0.049930353,0.31566483,0.75115186,-0.05935629,0.28462568,0.7538991,-0.06019837,0.25922644,0.7556075,-0.05990031
unknown,0.44692636,0.7085297,7.5139404e-08,0.42659155,0.64397556,-0.008159269,0.3938043,0.58718926,-0.02036638,0.36379328,0.54564637,-0.030657958,0.3474137,0.5076642,-0.042968735,0.37159058,0.615124,-0.040506393,0.31155488,0.63368225,-0.058313232,0.27497846,0.64889807,-0.06795823,0.24749756,0.6630883,-0.07350742,0.37165955,0.66240656,-0.04471707,0.29968053,0.6847048,-0.061960053,0.25799534,0.6997952,-0.07014238,0.22773015,0.71176696,-0.076009244,0.37117618,0.7060797,-0.04755446,0.30514652,0.7225704,-0.06102098,0.26553574,0.7324271,-0.064806,0.23601256,0.7404325,-0.06698461,0.37061173,0.74456394,-0.05012416,0.31635055,0.7509794,-0.059586756,0.284968,0.7536666,-0.060529187,0.25916457,0.7554463,-0.060322896
unknown,0.4471667,0.7072209,6.549066e-08,0.42679042,0.6431613,-0.0075550433,0.3942107,0.5863168,-0.019378548,0.3635515,0.54544,-0.029416366,0.34725612,0.5070981,-0.04154981,0.37184018,0.6151815,-0.03924495,0.3118966,0.63352174,-0.05652285,0.27523437,0.6484703,-0.06591479,0.24797228,0.662363,-0.07134407,0.371815,0.6623455,-0.04361709,0.300283,0.68445843,-0.060169045,0.25829268,0.6995754,-0.06808809,0.22805087,0.71174514,-0.073970824,0.37141982,0.7057111,-0.0466468,0.30567804,0.72155213,-0.059476905,0.26553145,0.73148143,-0.06321651,0.23575377,0.73976505,-0.06557697,0.37086752,0.7441694,-0.049391437,0.31638864,0.7510976,-0.05867382,0.28436002,0.75416183,-0.05986457,0.25788838,0.7564498,-0.059933245
unknown,0.44680637,0.7086217,7.3854544e-08,0.42726997,0.6432529,-0.008266997,0.39435223,0.58653855,-0.02036754,0.363626,0.5455959,-0.030404618,0.3470499,0.507724,-0.042337544,0.37115377,0.61560714,-0.040152848,0.3109372,0.63344496,-0.05759506,0.27468836,0.6483705,-0.06680528,0.24796423,0.66257936,-0.07198158,0.3705213,0.66267955,-0.044039123,0.2984511,0.68440974,-0.060886342,0.257267,0.6994591,-0.06838701,0.2279446,0.71168447,-0.073606536,0.3697117,0.70587236,-0.04659361,0.3029881,0.7218227,-0.059710015,0.26381576,0.73134273,-0.062950894,0.23507516,0.7390444,-0.06463742,0.3690356,0.7437838,-0.048890088,0.31387138,0.75051725,-0.058161408,0.28252292,0.753032,-0.058897752,0.25713155,0.7543424,-0.058422938
unknown,0.4477313,0.7049956,6.2755525e-08,0.42702383,0.64114785,-0.0072876792,0.3946626,0.58519524,-0.018745739,0.36432353,0.54466414,-0.028411534,0.3480001,0.50757694,-0.03997673,0.37180445,0.6148913,-0.038559996,0.3118387,0.63308334,-0.055715967,0.27523392,0.64819,-0.06490811,0.24797496,0.66253525,-0.0700673,0.37125427,0.6619041,-0.042735368,0.29975298,0.6842267,-0.05931178,0.25824893,0.6991679,-0.06686319,0.22849137,0.7112258,-0.072185405,0.37056527,0.7045872,-0.045534797,0.3049122,0.7212461,-0.058360185,0.26577666,0.7309628,-0.06152027,0.23674493,0.739005,-0.063176714,0.37007764,0.74175197,-0.048044465,0.3157504,0.7487384,-0.056898043,0.28429264,0.75166553,-0.057392456,0.2585108,0.75364053,-0.05678677
unknown,0.44684607,0.7057741,8.448967e-08,0.42662835,0.6422516,-0.008160523,0.39408562,0.5863057,-0.020457048,0.36458653,0.545529,-0.030842572,0.34845287,0.5091558,-0.043223888,0.37233323,0.6152784,-0.04155122,0.31189436,0.6324318,-0.059750132,0.2749995,0.64725834,-0.069419354,0.24758825,0.66168576,-0.0748234,0.37289923,0.66179824,-0.04576382,0.30105808,0.683363,-0.0633661,0.25842023,0.69835347,-0.07129791,0.22773992,0.71113294,-0.07688657,0.37257275,0.70431215,-0.048609477,0.30670616,0.7207582,-0.062057577,0.26667663,0.73069763,-0.065619014,0.23708768,0.73896134,-0.06759306,0.37167346,0.7418638,-0.051241837,0.31750903,0.74910283,-0.060878765,0.28587842,0.75211364,-0.061935537,0.26007146,0.754258,-0.061736677
unknown,0.44711778,0.7055801,7.8605964e-08,0.42651623,0.64273953,-0.007674811,0.3934543,0.58652943,-0.019656917,0.36374965,0.54519916,-0.029766228,0.3477448,0.50765115,-0.04189113,0.37095314,0.61468494,-0.039638475,0.31108254,0.6332355,-0.057105035,0.27476227,0.6480761,-0.06664927,0.24799302,0.6618626,-0.07201831,0.3714932,0.6612722,-0.04394623,0.29896516,0.6837996,-0.06066909,0.2573068,0.699797,-0.06831147,0.22802974,0.712885,-0.07368991,0.37131363,0.704595,-0.046895288,0.3042559,0.72067857,-0.059823055,0.26477468,0.73127466,-0.06304797,0.23626336,0.7401335,-0.06473076,0.3706644,0.74334896,-0.04955666,0.31552112,0.749527,-0.058576964,0.28411913,0.75266516,-0.05900721,0.25882316,0.7552004,-0.05831862
unknown,0.4470373,0.7078864,7.21451e-08,0.42702383,0.6430393,-0.0075508854,0.39437488,0.5867636,-0.019289088,0.36457232,0.5457097,-0.029210238,0.34809396,0.5086842,-0.04104657,0.3712094,0.6154557,-0.039050292,0.31118232,0.6331033,-0.056420915,0.27483973,0.64776057,-0.06577176,0.24802789,0.66149265,-0.0710372,0.37100747,0.66189563,-0.043199006,0.2997108,0.6835529,-0.0600057,0.25826725,0.6986682,-0.067660645,0.22870106,0.7108909,-0.07299361,0.3704781,0.70467466,-0.046016306,0.30460352,0.7205137,-0.05891648,0.26536658,0.73065037,-0.062226776,0.23648505,0.7389641,-0.06397843,0.37012297,0.742311,-0.048567455,0.31591347,0.7492149,-0.057583466,0.2847147,0.75263405,-0.058240514,0.25935644,0.75508595,-0.057720877
unknown,0.4468994,0.707628,6.722785e-08,0.427248,0.64310837,-0.008312063,0.39428386,0.58588725,-0.020525616,0.36403108,0.5445284,-0.030648204,0.3477688,0.5067157,-0.042795435,0.37188792,0.6147969,-0.041375875,0.31171697,0.6329871,-0.059086233,0.2752485,0.6480797,-0.0685552,0.24809696,0.66231596,-0.07397325,0.37176207,0.6614917,-0.045366287,0.29958436,0.68344635,-0.062605105,0.25801826,0.69881374,-0.07043615,0.22830057,0.71158177,-0.07598866,0.37120122,0.7044781,-0.047929667,0.3048041,0.7205749,-0.061245494,0.26521808,0.7306608,-0.06480099,0.23593865,0.7393838,-0.06682453,0.3705436,0.7424042,-0.050218012,0.31598487,0.74911284,-0.059675954,0.2845106,0.75225055,-0.06064965,0.25860837,0.7546311,-0.06045344
unknown,0.4462746,0.7059588,7.2158315e-08,0.4261856,0.6416335,-0.008478514,0.393948,0.5849776,-0.02082692,0.36372617,0.5450936,-0.031115394,0.34749952,0.50775194,-0.04339306,0.37123105,0.61489075,-0.0407016,0.31113058,0.6332334,-0.058287375,0.27459666,0.64815086,-0.06787866,0.24765417,0.6621757,-0.073377766,0.37135705,0.66235626,-0.0445619,0.2999005,0.6842088,-0.06141662,0.25868273,0.6989753,-0.06945164,0.22919488,0.7111275,-0.07530683,0.37100542,0.7054503,-0.047043603,0.3050878,0.7218398,-0.060057964,0.26543984,0.73144764,-0.06376529,0.23620227,0.73961973,-0.06603163,0.37055072,0.74309826,-0.04927291,0.31630734,0.75003964,-0.05841088,0.28498194,0.7526614,-0.059272766,0.2593684,0.7545866,-0.059093047
unknown,0.4473177,0.70483476,7.225688e-08,0.42772657,0.64184636,-0.0086371405,0.39514726,0.5864471,-0.020628698,0.36509967,0.5457771,-0.03067063,0.348683,0.5088787,-0.042552803,0.37210765,0.61596113,-0.039996006,0.31222457,0.6325396,-0.057649482,0.27573133,0.6469409,-0.06712173,0.24846244,0.66062325,-0.07254239,0.3718803,0.6621124,-0.043757863,0.3009758,0.6834128,-0.060954116,0.25944877,0.6980693,-0.06898865,0.22923921,0.70980763,-0.07469251,0.37124667,0.70430475,-0.046267,0.30618408,0.71990144,-0.059578612,0.26692265,0.729726,-0.06327717,0.23743807,0.7378036,-0.06536019,0.37052676,0.7412303,-0.048626523,0.3166889,0.74832124,-0.058267936,0.28520676,0.75166017,-0.059536915,0.25923845,0.75403523,-0.059493236
unknown,0.44720224,0.7055661,7.663768e-08,0.42701602,0.64223707,-0.007941682,0.39357477,0.5866471,-0.019837871,0.36381555,0.5457948,-0.029842377,0.34766987,0.5095526,-0.041877247,0.37132746,0.6135569,-0.040625587,0.31127524,0.63218725,-0.05829687,0.2749757,0.64770305,-0.06773247,0.24823928,0.6619522,-0.07311066,0.372101,0.65940255,-0.04488306,0.3002923,0.68257445,-0.061696228,0.25811696,0.6983223,-0.06938404,0.2279723,0.7109149,-0.07498767,0.3721301,0.7023222,-0.047810223,0.30625355,0.7194993,-0.06082793,0.26620805,0.73003864,-0.064491145,0.23663558,0.7381601,-0.06671918,0.37156752,0.7410848,-0.05050309,0.31771725,0.7490588,-0.060097747,0.2861786,0.75241995,-0.061391897,0.26040182,0.75442314,-0.061468884
unknown,0.44733396,0.70422125,7.0103155e-08,0.42741546,0.6418952,-0.00814735,0.39475197,0.5857162,-0.02020995,0.3643968,0.5453465,-0.030299984,0.34783676,0.50801826,-0.042444248,0.37118825,0.61456656,-0.040065285,0.3110941,0.633133,-0.05737838,0.2746929,0.64835393,-0.0667617,0.24784032,0.6622843,-0.07216223,0.37187043,0.6606679,-0.044138547,0.3001393,0.68322986,-0.060554683,0.25855258,0.6988203,-0.068233095,0.22882238,0.7116267,-0.07393193,0.3719588,0.7037245,-0.04688034,0.30562097,0.7201556,-0.059674174,0.26585242,0.7306257,-0.063154794,0.23653813,0.7394519,-0.06532938,0.37157598,0.74256957,-0.049363635,0.3171693,0.75018156,-0.058638748,0.28552282,0.7533343,-0.059616987,0.2594933,0.75542045,-0.059517514
